Date,open,predicted
2024-04-03 04:00:00,168.79,172.61
2024-04-04 04:00:00,170.29,172.11
2024-04-05 04:00:00,169.59,171.52
2024-04-08 04:00:00,169.03,171.32
2024-04-09 04:00:00,168.7,171.05
2024-04-10 04:00:00,168.8,170.89
2024-04-11 04:00:00,168.34,170.72
2024-04-12 04:00:00,174.26,170.74
2024-04-15 04:00:00,175.36,171.13
2024-04-16 04:00:00,171.75,171.57
2024-04-17 04:00:00,169.61,171.84
2024-04-18 04:00:00,168.03,171.86
2024-04-19 04:00:00,166.21,171.71
2024-04-22 04:00:00,165.515,171.32
2024-04-23 04:00:00,165.35,170.89
2024-04-24 04:00:00,166.54,170.42
2024-04-25 04:00:00,169.525,170.18
2024-04-26 04:00:00,169.88,169.79
2024-04-29 04:00:00,173.37,169.48
2024-04-30 04:00:00,173.33,169.64
2024-05-01 04:00:00,169.58,169.94
2024-05-02 04:00:00,172.51,170.22
2024-05-03 04:00:00,186.645,170.65
2024-05-06 04:00:00,182.354,171.71
2024-05-07 04:00:00,183.45,172.96
2024-05-08 04:00:00,182.85,174.31
2024-05-09 04:00:00,182.56,175.62
2024-05-10 04:00:00,184.9,176.98
2024-05-13 04:00:00,185.435,178.28
2024-05-14 04:00:00,187.51,179.45
2024-05-15 04:00:00,187.91,180.85
2024-05-16 04:00:00,190.47,182.38
2024-05-17 04:00:00,189.51,183.72
2024-05-20 04:00:00,189.325,184.48
2024-05-21 04:00:00,191.09,185.41
2024-05-22 04:00:00,192.265,186.37
2024-05-23 04:00:00,190.98,187.25
2024-05-24 04:00:00,188.82,187.71
2024-05-28 04:00:00,191.51,188.22
2024-05-29 04:00:00,189.61,188.46
2024-05-30 04:00:00,190.76,188.61
2024-05-31 04:00:00,191.44,188.68
2024-06-03 04:00:00,192.9,188.83
2024-06-04 04:00:00,194.635,189.15
2024-06-05 04:00:00,195.4,189.51
2024-06-06 04:00:00,195.685,189.97
2024-06-07 04:00:00,194.65,190.55
2024-06-10 04:00:00,196.9,191.47
2024-06-11 04:00:00,193.65,192.01
2024-06-12 04:00:00,207.37,193.22
2024-06-13 04:00:00,214.74,195.14
2024-06-14 04:00:00,213.85,197.52
2024-06-17 04:00:00,213.37,200.05
2024-06-18 04:00:00,217.59,202.79
2024-06-20 04:00:00,213.93,205.5
2024-06-21 04:00:00,210.39,207.77
2024-06-24 04:00:00,207.72,209.69
2024-06-25 04:00:00,209.15,211.05
2024-06-26 04:00:00,211.5,212.4
2024-06-27 04:00:00,214.69,212.54
2024-06-28 04:00:00,215.77,212.33
2024-07-01 04:00:00,212.09,211.98
2024-07-02 04:00:00,216.15,212.16
2024-07-03 04:00:00,220.0,212.47
2024-07-05 04:00:00,221.65,213.45
2024-07-08 04:00:00,227.09,215.35
2024-07-09 04:00:00,227.93,217.8
2024-07-10 04:00:00,229.3,220.42
2024-07-11 04:00:00,231.39,223.29
2024-07-12 04:00:00,228.92,225.64
2024-07-15 04:00:00,236.48,227.96
2024-07-16 04:00:00,235.0,230.74
2024-07-17 04:00:00,229.45,232.95
2024-07-18 04:00:00,230.28,234.47
2024-07-19 04:00:00,224.82,235.32
2024-07-22 04:00:00,227.01,235.31
2024-07-23 04:00:00,224.365,234.87
2024-07-24 04:00:00,224.0,234.18
2024-07-25 04:00:00,218.93,232.63
2024-07-26 04:00:00,218.7,231.27
2024-07-29 04:00:00,216.96,229.39
2024-07-30 04:00:00,219.19,227.1
2024-07-31 04:00:00,221.44,224.96
2024-08-01 04:00:00,224.37,223.78
2024-08-02 04:00:00,219.15,223.04
2024-08-05 04:00:00,199.09,222.41
2024-08-06 04:00:00,205.3,221.29
2024-08-07 04:00:00,206.9,219.67
2024-08-08 04:00:00,213.11,218.51
2024-08-09 04:00:00,212.1,217.49
2024-08-12 04:00:00,216.07,216.67
2024-08-13 04:00:00,219.01,216.1
2024-08-14 04:00:00,220.57,215.96
2024-08-15 04:00:00,224.6,215.96
2024-08-16 04:00:00,223.92,216.81
2024-08-19 04:00:00,225.72,217.99
2024-08-20 04:00:00,225.77,220.29
2024-08-21 04:00:00,226.52,222.78
2024-08-22 04:00:00,227.79,224.96
2024-08-23 04:00:00,225.6589,226.59
2024-08-26 04:00:00,226.76,227.91
2024-08-27 04:00:00,225.995,229.05
