Date,open,high,low,close,volume
2024-05-02 04:00:00,172.51,173.415,170.89,173.03,91402452.0
2024-05-03 04:00:00,186.645,187.0,182.66,183.38,160948084.0
2024-05-06 04:00:00,182.354,184.2,180.42,181.71,75883763.0
2024-05-07 04:00:00,183.45,184.9,181.32,182.4,74139796.0
2024-05-08 04:00:00,182.85,183.07,181.45,182.74,43762264.0
2024-05-09 04:00:00,182.56,184.66,182.11,184.57,47493785.0
2024-05-10 04:00:00,184.9,185.09,182.13,183.05,48525869.0
2024-05-13 04:00:00,185.435,187.1,184.62,186.28,68586935.0
2024-05-14 04:00:00,187.51,188.3,186.29,187.43,50551025.0
2024-05-15 04:00:00,187.91,190.65,187.37,189.72,67561123.0
2024-05-16 04:00:00,190.47,191.095,189.6601,189.84,51938566.0
2024-05-17 04:00:00,189.51,190.81,189.18,189.87,39819440.0
2024-05-20 04:00:00,189.325,191.9199,189.01,191.04,43637717.0
2024-05-21 04:00:00,191.09,192.73,190.9201,192.35,41192656.0
2024-05-22 04:00:00,192.265,192.8231,190.27,190.9,33510741.0
2024-05-23 04:00:00,190.98,191.0,186.625,186.88,48553611.0
2024-05-24 04:00:00,188.82,190.58,188.0404,189.98,35429737.0
2024-05-28 04:00:00,191.51,193.0,189.1,189.99,51021752.0
2024-05-29 04:00:00,189.61,192.247,189.51,190.29,51934816.0
2024-05-30 04:00:00,190.76,192.18,190.63,191.29,48211467.0
2024-05-31 04:00:00,191.44,192.57,189.91,192.25,71937580.0
2024-06-03 04:00:00,192.9,194.99,192.52,194.03,48702790.0
2024-06-04 04:00:00,194.635,195.32,193.0342,194.35,46573003.0
2024-06-05 04:00:00,195.4,196.9,194.87,195.87,53100041.0
2024-06-06 04:00:00,195.685,196.5,194.17,194.48,39591471.0
2024-06-07 04:00:00,194.65,196.94,194.14,196.89,52508446.0
2024-06-10 04:00:00,196.9,197.3,192.15,193.12,95034362.0
2024-06-11 04:00:00,193.65,207.16,193.63,207.15,169677009.0
2024-06-12 04:00:00,207.37,220.2,206.9,213.07,197067068.0
2024-06-13 04:00:00,214.74,216.75,211.6,214.24,96562134.0
2024-06-14 04:00:00,213.85,215.17,211.3,212.49,69150814.0
2024-06-17 04:00:00,213.37,218.95,212.72,216.67,92964543.0
2024-06-18 04:00:00,217.59,218.63,213.0,214.29,78534656.0
2024-06-20 04:00:00,213.93,214.24,208.85,209.68,83863022.0
2024-06-21 04:00:00,210.39,211.89,207.11,207.49,204018186.0
2024-06-24 04:00:00,207.72,212.7,206.59,208.14,76303387.0
2024-06-25 04:00:00,209.15,211.38,208.61,209.07,54266550.0
2024-06-26 04:00:00,211.5,214.86,210.64,213.25,64531178.0
2024-06-27 04:00:00,214.69,215.7395,212.35,214.1,48631748.0
